name,url,rating,review_count,star_rating,location
The Social Stays Jaipur,"https://www.agoda.com/artbuzz-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=7,6,8&los=1&searchrequestid=9bb56f5d-33c7-4dc5-a26b-f5c5d7202a55",8.3,2373,3,"Civil Lines, Jaipur"
The Grand Anukampa Richi Rich Studio,https://www.agoda.com/the-grand-anukampa-gold/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=9bb56f5d-33c7-4dc5-a26b-f5c5d7202a55,7.1,446,4,"Shyam Nagar, Jaipur"
The LaLiT Jaipur,"https://www.agoda.com/the-lalit-jaipur_2/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=15,8&los=1&searchrequestid=9bb56f5d-33c7-4dc5-a26b-f5c5d7202a55",8.1,3923,5,"Jaipur Airport, Jaipur"
Super Townhouse Oak Nirman Nagar Mansarovar Formerly The Tulip Regency,https://www.agoda.com/townhouse-oak-nirman-nagar-formerly-tulipresidency/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=9bb56f5d-33c7-4dc5-a26b-f5c5d7202a55,8.6,73,4,"Shyam Nagar, Jaipur"
Palm paradise by divine,https://www.agoda.com/palm-paradise-by-divine/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=9bb56f5d-33c7-4dc5-a26b-f5c5d7202a55,7.5,228,4,"Shyam Nagar, Jaipur"
Ramada by Wyndham Jaipur North,https://www.agoda.com/hotel-paradise-jaipur_2/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=9bb56f5d-33c7-4dc5-a26b-f5c5d7202a55,7.1,777,4,"Vidhayadhar Nagar, Jaipur"
Hotel Marigold- Sitapura,"https://www.agoda.com/hotel-marigold-sitapura/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=9,8&los=1&searchrequestid=9bb56f5d-33c7-4dc5-a26b-f5c5d7202a55",8.4,1018,4,"Jaipur Airport, Jaipur"
Vesta International,https://www.agoda.com/vesta-international/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=1&searchrequestid=9bb56f5d-33c7-4dc5-a26b-f5c5d7202a55,7.3,3704,4,"Gopalbari, Jaipur"
"Royal Orchid Central Jaipur, Bani Park",https://www.agoda.com/royal-orchid-central-jaipur-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=9bb56f5d-33c7-4dc5-a26b-f5c5d7202a55,7.1,1340,4,"Sindhi Camp, Jaipur"
Holiday Inn Express & Suites Jaipur Gopalpura by IHG,https://www.agoda.com/holiday-inn-express-and-suites-jaipur-gopalpura/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=1&searchrequestid=9bb56f5d-33c7-4dc5-a26b-f5c5d7202a55,8.4,1650,4,"Mansarovar, Jaipur"
