name,url,rating,review_count,star_rating,location
The Kurki Heritage,https://www.agoda.com/oyo-2730-hotel-ethnic-residency/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=1&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005,8.9,237,4,"Shyam Nagar, Jaipur"
Hotel Ratangarh Palace,https://www.agoda.com/hotel-ratangarh-palace/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005,7.3,474,3,"Gopalbari, Jaipur"
Hotel Gandharva - A Green Hotel,"https://www.agoda.com/hotel-gandharva-by-peppermint-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=7,9&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005",7.5,881,3,"Sindhi Camp, Jaipur"
The Grand Hotels and Suites,"https://www.agoda.com/the-grand-anukampa-luxury-boutique-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=17,4,8&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005",7.5,4134,5,"Shyam Nagar, Jaipur"
Le Méridien Jaipur Resort & Spa,https://www.agoda.com/le-meridien-jaipur-resort-spa/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005,8.6,1138,5,"Kukas, Jaipur"
The LaLiT Jaipur,https://www.agoda.com/the-lalit-jaipur_2/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005,8.1,3926,5,"Jaipur Airport, Jaipur"
DoubleTree by Hilton Jaipur Amer,https://www.agoda.com/doubletree-by-hilton-jaipur-amer/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005,8.6,874,5,"Kukas, Jaipur"
Anantara Jewel Bagh Jaipur,https://www.agoda.com/anantara-jewel-bagh-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005,9.4,63,5,"Ramsinghpura, Jaipur"
Sunday Hotel Jaipur,https://www.agoda.com/5-by-oyo-metropolitan/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005,8.2,1150,5,"Hathroi, Jaipur"
Hotel Sarang Palace - Boutique Stays,https://www.agoda.com/sarang-palace-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=1&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005,8.6,635,4,"Bani Park, Jaipur"
Radisson Blu Jaipur,https://www.agoda.com/radisson-blu-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005,7.6,1337,5,"Jaipur Airport, Jaipur"
Ramada by Wyndham Jaipur North,https://www.agoda.com/hotel-paradise-jaipur_2/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=2cd181f2-eb30-487b-b10a-4f32be155005,7.1,777,4,"Vidhayadhar Nagar, Jaipur"
